,Name,IT Company,Satisfaction Level,Number Of Project,Average Monthly Hours,Time Spend Company ,Work accident ,Left ,Promotion Last Five years ,Department,Salary
8/27/2023,Vivaan Mohan,Cognizant,Very Low,6,268,4,No,Yes,No,technical,medium
8/27/2023,Yashika Chawla,Infosys,Very Low,6,287,4,No,Yes,No,technical,medium
8/27/2023,Yuvika Kapoor,Infosys,Very High,5,257,5,No,Yes,No,technical,medium
8/27/2023,Zaina Seth,TCS,Low,2,143,3,No,Yes,No,technical,high
8/27/2023,Zoya Mishra,Capgemini,Medium,2,130,3,No,Yes,No,technical,low
8/27/2023,Geeta Sharma,Accenture,Medium,2,136,3,No,Yes,No,technical,medium
8/27/2023,Arjun Singh,Accenture,High,4,261,5,No,Yes,No,technical,medium
8/27/2023,Rohit Sharma,IBM,Medium,3,180,4,No,Yes,No,technical,medium
8/27/2023,Ankit Patel,IBM,Low,2,126,3,No,Yes,No,support,medium
8/27/2023,Rajesh Gupta,Cognizant,Medium,2,127,3,Yes,Yes,No,support,low
8/27/2023,Aarti Sharma,TCS,Very High,5,195,6,No,Yes,No,support,low
8/27/2023,Suresh Kumar,Capgemini,Medium,2,160,3,No,Yes,No,support,low
8/27/2023,Karthik Reddy,TCS,Medium,2,150,3,No,Yes,No,support,low
8/27/2023,Alok Mishra,Wipro,Very High,4,264,6,No,Yes,No,support,low
8/27/2023,Chitra Iyer,Tech Mahindra,Very Low,6,309,4,No,Yes,No,support,low
8/27/2023,Amit Choudhary,Accenture,Medium,2,135,3,No,Yes,No,support,low
8/27/2023,Vivek Rajput,Oracle,Very Low,6,261,4,No,Yes,No,support,low
8/27/2023,Bhavana Patel,Tech Mahindra,Medium,2,160,3,No,Yes,No,support,low
8/27/2023,Sunil Sharma,Tech Mahindra,High,4,237,5,No,Yes,No,support,low
8/27/2023,Deepika Singhania,Infosys,Medium,2,136,3,No,Yes,No,technical,low
8/27/2023,Aditya Gupta,Oracle,Medium,2,139,3,No,Yes,No,technical,low
8/27/2023,Esha Verma,IBM,Low,2,151,4,No,Yes,No,technical,low
8/27/2023,Amit Singh,IBM,High,5,229,5,No,Yes,No,management,low
8/27/2023,Anand Kumar,Cognizant,Very High,5,245,5,No,Yes,No,IT,low
8/27/2023,Falguni Shah,Wipro,Low,2,127,3,No,Yes,No,IT,low
8/27/2023,Gauri Gupta,Tech Mahindra,Very Low,6,283,5,No,Yes,No,IT,low
8/27/2023,Ankit Shah,Oracle,Medium,2,143,3,No,Yes,No,IT,low
8/27/2023,Harshita Singh,TCS,Very Low,5,298,4,No,Yes,No,IT,low
8/27/2023,Ishaani Shah,Capgemini,Low,2,159,3,No,Yes,No,product_mng,low
8/27/2023,Anuj Mehta,Capgemini,Very High,5,239,5,No,Yes,No,product_mng,low
8/27/2023,Arjun Sharma,Infosys,Very High,4,226,5,No,Yes,No,product_mng,medium
8/27/2023,Ashish Patel,TCS,Very High,5,248,5,No,Yes,No,product_mng,medium
8/27/2023,Atul Mishra,Wipro,Very Low,6,286,4,No,Yes,No,IT,medium
8/27/2023,Deepak Joshi,Wipro,Low,2,145,3,No,Yes,No,RandD,medium
8/27/2023,Jhanvi Sharma,IBM,Very Low,7,254,4,Yes,Yes,No,RandD,medium
8/27/2023,Jay Patel,Infosys,Medium,2,127,3,No,Yes,No,RandD,medium
8/27/2023,Xena Shah,Capgemini,Very High,5,223,5,No,Yes,No,RandD,medium
8/27/2023,Yamini Gupta,Cognizant,High,4,255,5,No,Yes,No,RandD,medium
8/27/2023,Zoya Singh,Tech Mahindra,Medium,2,136,3,No,Yes,No,marketing,medium
8/27/2023,Gaurav Kumar,Tech Mahindra,Low,2,137,3,No,Yes,No,sales,medium
8/27/2023,Akshay Patel,Accenture,Medium,2,135,3,No,Yes,No,accounting,medium
8/27/2023,Kunal Shah,Infosys,Medium,2,137,3,No,Yes,No,support,medium
8/27/2023,Manish Singh,IBM,High,3,255,5,No,Yes,No,technical,high
8/27/2023,Vaishali Iyer,Cognizant,High,4,273,5,No,Yes,No,management,low
8/27/2023,Warisha Gupta,Tech Mahindra,Very High,5,234,5,No,Yes,No,marketing,medium
8/27/2023,Rajesh Gupta,Infosys,Low,2,152,3,No,Yes,No,marketing,medium
8/27/2023,Rakesh Singh,TCS,Low,2,134,3,No,Yes,No,marketing,medium
8/27/2023,Ravi Patel,Wipro,Very Low,6,292,4,No,Yes,No,sales,medium
8/27/2023,Rohit Kumar,Tech Mahindra,Very High,5,245,5,No,Yes,No,sales,low
8/27/2023,Sachin Sharma,Accenture,Medium,2,159,3,No,Yes,No,sales,low
8/27/2023,Sahil Gupta,IBM,Very Low,6,260,4,No,Yes,No,sales,low
8/27/2023,Akash kunbhar,IBM,Medium,2,149,3,No,Yes,No,sales,low
8/27/2023,Vineet Gupta,Cognizant,Very High,5,266,5,No,Yes,No,sales,low
8/27/2023,Pooja Verma,Infosys,Medium,2,149,3,No,Yes,No,sales,low
8/27/2023,Qiana Khan,Capgemini,Very High,5,242,5,No,Yes,No,sales,low
8/27/2023,Zuber Patel,TCS,Medium,2,134,3,No,Yes,No,sales,low
8/27/2023,Urmi Patel,Wipro,Very Low,5,271,4,No,Yes,No,sales,low
8/27/2023,Vishal Shah,Capgemini,Very Low,6,275,4,No,Yes,No,sales,low
8/27/2023,Yogesh Kumar,Accenture,High,5,227,5,No,Yes,No,sales,low
8/27/2023,Umesh Kumar,Accenture,Very Low,7,277,5,No,Yes,No,sales,low
8/27/2023,Kavya Verma,Oracle,Low,2,151,3,No,Yes,No,sales,low
8/27/2023,Leena Patel,Cognizant,Very Low,6,274,4,No,Yes,No,sales,low
8/27/2023,Meena Iyer,Infosys,High,4,242,6,No,Yes,No,sales,low
8/27/2023,Nandini Gupta,,Medium,2,143,3,Yes,Yes,No,sales,low
8/27/2023,Ojasvi Singh,TCS,Low,2,145,3,No,Yes,No,sales,low
8/27/2023,Abhishek Sharma,Wipro,Low,5,172,2,No,Yes,No,sales,low
8/27/2023,Ajay Patel,TCS,Low,2,135,3,No,Yes,No,accounting,low
8/27/2023,Akshay Desai,Wipro,Very Low,4,192,4,No,Yes,No,accounting,low
8/27/2023,Amitabh Gupta,Capgemini,Very Low,7,276,4,No,Yes,No,accounting,low
8/27/2023,Trisha Sharma,Infosys,High,4,206,4,No,Yes,No,hr,medium
8/27/2023,Aniket Shah,Capgemini,Medium,4,281,6,No,Yes,No,hr,medium
8/27/2023,Anish Deshpande,Accenture,Low,2,151,3,No,Yes,No,hr,medium
8/27/2023,Arvind Jain,Wipro,Very Low,6,244,4,No,Yes,No,hr,medium
8/27/2023,Rashi Shah,Oracle,Very Low,6,309,4,No,Yes,No,technical,medium
8/27/2023,Sakshi Singhania,IBM,Very High,5,218,5,No,Yes,No,technical,medium
8/27/2023,Ashok Kumar,Oracle,Very High,4,263,6,No,Yes,No,technical,medium
8/27/2023,Atul Chavan,Cognizant,Very Low,6,244,4,No,Yes,No,technical,medium
8/27/2023,Deepak Joshi,Tech Mahindra,Medium,7,263,4,No,Yes,No,technical,medium
8/27/2023,Gaurav Patel,Infosys,Medium,2,143,3,No,Yes,No,technical,medium
8/27/2023,Harish Iyer,Capgemini,Very High,2,181,5,No,Yes,No,technical,medium
8/27/2023,Ishan Sharma,TCS,Very High,5,265,5,No,Yes,No,technical,medium
8/27/2023,Jayesh Pandit,TCS,High,5,161,5,No,Yes,No,technical,high
8/27/2023,Aarohi Verma,Wipro,Very Low,7,282,5,No,Yes,No,technical,low
8/27/2023,Kunal Shah,Accenture,Medium,2,155,3,No,Yes,No,technical,medium
8/27/2023,Mayank Agarwal,Oracle,High,4,217,6,No,Yes,No,support,medium
8/27/2023,Mohit Gupta,IBM,Very Low,6,289,5,No,Yes,No,support,medium
8/27/2023,Nishant Singh,Cognizant,Very High,4,259,5,No,Yes,No,support,medium
8/27/2023,Pankaj Patel,Infosys,Low,2,158,3,No,Yes,No,support,low
8/27/2023,Pradeep Kumar,Capgemini,Low,2,158,3,No,Yes,No,support,low
8/27/2023,Rahul Desai,Accenture,Low,2,155,3,No,Yes,No,support,low
8/27/2023,Rajat Shah,Oracle,Medium,2,146,3,No,Yes,No,support,low
8/27/2023,Charu Iyer,IBM,Medium,2,164,5,No,Yes,No,support,low
8/27/2023,Rajesh Gupta,Cognizant,Very Low,6,259,4,No,Yes,No,support,low
8/27/2023,Rakesh Singh,Tech Mahindra,Very Low,6,293,4,No,Yes,No,support,low
8/27/2023,Divya Singhania,Infosys,Very High,5,275,5,No,Yes,No,support,low
8/27/2023,Eshaan Gupta,TCS,Very High,5,219,6,Yes,Yes,No,technical,low
8/27/2023,Sachin Sharma,Wipro,Very Low,6,247,4,No,Yes,No,technical,low
8/27/2023,Sameer Patel,Wipro,Very Low,7,309,4,No,Yes,No,technical,low
8/27/2023,Sanjay Kumar,Capgemini,Medium,2,151,3,No,Yes,No,management,low
8/27/2023,Sharad Deshmukh,Wipro,Low,2,129,3,No,Yes,No,IT,low
8/27/2023,Shashank Shah,Tech Mahindra,Very High,4,274,5,No,Yes,No,IT,low
8/27/2023,Ria Shah,Oracle,High,4,233,5,No,Yes,No,IT,low
8/27/2023,Priyanka Singh,Oracle,Very Low,7,289,4,No,Yes,No,IT,low
8/27/2023,Siddharth Singh,Tech Mahindra,High,4,239,6,No,Yes,No,IT,low
8/27/2023,Fiza Shah,Cognizant,High,5,221,5,No,Yes,No,product_mng,low
8/27/2023,Gargi Singh,Infosys,Medium,2,150,3,No,Yes,No,product_mng,low
8/27/2023,Sumit Jain,Infosys,Medium,2,144,3,Yes,Yes,No,product_mng,low
8/27/2023,Sunil Patel,TCS,Very Low,7,289,4,No,Yes,No,product_mng,low
8/28/2023,Meher Verma,Wipro,Very Low,6,301,5,No,Yes,No,IT,medium
8/28/2023,Naina Iyer,Tech Mahindra,Medium,4,205,3,No,No,No,sales,low
8/28/2023,Tarun Sharma,Accenture,Very High,3,228,3,No,No,No,sales,medium
8/28/2023,Lavanya Patel,Capgemini,Very Low,4,228,5,No,No,No,sales,medium
8/28/2023,Uday Deshpande,IBM,High,5,227,3,Yes,No,No,sales,medium
8/28/2023,Harleen Kaur,Cognizant,Medium,3,156,3,No,No,No,sales,medium
8/28/2023,Uday Deshpande,Infosys,High,5,177,2,No,No,No,sales,low
8/28/2023,Saanvi Singhania,Capgemini,Medium,6,188,5,Yes,No,No,sales,low
8/28/2023,Tania Sharma,TCS,Medium,3,185,4,No,No,No,sales,low
8/28/2023,Usha Patel,Wipro,Very High,3,153,4,No,No,No,accounting,low
8/28/2023,Rajiv Gupta,Tech Mahindra,Very High,4,174,3,No,No,No,accounting,low
8/28/2023,Manish Singh,Accenture,Medium,4,209,3,No,No,No,accounting,low
8/28/2023,Rohit Sharma,HCL Technologies,Very High,3,251,2,Yes,No,No,hr,low
8/28/2023,Qudsia Khan,IBM,Medium,3,153,3,Yes,No,No,hr,low
8/28/2023,Nikhil Kumar,Infosys,High,5,167,3,No,No,No,hr,low
8/28/2023,Vani Iyer,Infosys,Very High,3,151,2,No,No,No,technical,low
8/28/2023,Wafa Gupta,TCS,High,3,158,2,No,No,No,technical,low
8/28/2023,Ankit Patel,Cognizant,Very High,3,210,2,No,No,No,hr,low
8/28/2023,Pranav Shah,Wipro,Very High,3,116,5,No,No,No,technical,low
8/28/2023,Rakesh Singh,Tech Mahindra,Very High,5,178,2,No,No,No,technical,low
8/28/2023,Xyla Shah,Capgemini,Very High,4,155,3,Yes,No,No,technical,low
8/28/2023,Yashika Singh,Wipro,High,3,151,2,No,No,No,technical,low
8/28/2023,Zara Khan,IBM,Medium,4,216,2,Yes,No,No,technical,low
8/28/2023,Aakanksha Sharma,Cognizant,Very High,5,179,3,No,No,No,technical,low
8/28/2023,Karan Mehta,Infosys,High,4,135,4,No,No,No,technical,low
8/28/2023,Bhavika Patel,Tata Consultancy Services,Very High,4,232,4,No,No,No,technical,low
8/28/2023,Saurabh Gupta,TCS,High,4,168,3,No,No,No,technical,low
8/28/2023,Rahul Desai,HCL Technologies,Medium,6,171,5,Yes,No,No,support,medium
8/28/2023,Chahat Iyer,Tech Mahindra,Medium,5,258,2,No,No,No,support,medium
8/28/2023,Abhishek Sharma,Accenture,High,3,221,2,No,No,No,support,medium
8/28/2023,Ashish Patel,Oracle,Low,5,97,3,No,No,No,support,medium
8/28/2023,Devika Patel,HCL Technologies,Very High,3,164,3,No,No,No,support,medium
8/28/2023,Vineet Gupta,Cognizant,Very High,4,237,3,No,No,No,support,medium
8/28/2023,Eesha Singhania,Infosys,Medium,5,161,2,No,No,No,support,medium
8/28/2023,Farah Gupta,Capgemini,Very High,4,134,2,Yes,No,No,support,medium
8/28/2023,Vikram Singh,TCS,Very High,4,188,3,No,No,No,support,medium
8/28/2023,Aanya Shah,Cognizant,Medium,4,181,3,No,No,No,support,medium
8/28/2023,Advait Sharma,Wipro,Medium,4,160,2,No,No,No,support,medium
8/28/2023,Ahana Kapoor,Tech Mahindra,Low,6,197,5,Yes,No,No,technical,medium
8/28/2023,Aishani Menon,Oracle,High,3,145,3,No,No,No,technical,high
8/28/2023,Akash Chauhan,IBM,Medium,5,221,2,No,No,No,technical,low
8/28/2023,Alisha Nair,Cognizant,Very Low,6,260,5,No,No,No,management,medium
8/28/2023,Amara Patel,Infosys,Very Low,3,99,5,Yes,No,No,IT,medium
8/28/2023,Amaya Reddy,Tech Mahindra,Medium,3,243,3,No,No,No,IT,medium
8/28/2023,Anika Iyer,Infosys,High,5,244,3,No,No,No,IT,medium
8/28/2023,Arnav Singh,Wipro,Very High,4,179,4,No,No,No,IT,low
8/28/2023,Arya Gupta,Tech Mahindra,Very High,4,146,6,Yes,No,No,IT,low
8/28/2023,Ashwin Bhatia,Accenture,High,3,262,2,Yes,No,No,product_mng,low
8/28/2023,Avani Verma,Oracle,Very High,4,174,2,No,No,No,product_mng,low
8/28/2023,Ayush Malhotra,IBM,High,4,148,4,No,No,No,product_mng,low
8/28/2023,Chetana Rao,Cognizant,Medium,5,235,3,No,No,No,product_mng,low
8/28/2023,Darshan Joshi,,Very High,5,285,2,Yes,No,No,IT,low
8/28/2023,Devika Sharma,Capgemini,Very High,4,143,3,No,No,No,RandD,low
8/28/2023,Disha Agrawal,TCS,Very High,6,141,5,No,No,No,RandD,low
8/28/2023,Ekansh Patel,Wipro,Very High,3,125,4,No,No,No,RandD,low
8/28/2023,Esha Bansal,Tech Mahindra,Very High,4,232,3,No,No,No,RandD,low
8/28/2023,Gauri Khanna,Accenture,Medium,3,172,2,No,No,No,RandD,low
8/28/2023,Harshita Rastogi,Tata Consultancy Services,High,5,283,5,No,No,No,marketing,low
8/28/2023,Ira Das,IBM,High,3,189,3,No,No,No,sales,low
8/28/2023,Ishanvi Saxena,HCL,Medium,2,144,3,No,No,No,accounting,low
8/28/2023,Jiya Kumar,Tech Mahindra,Medium,4,145,3,Yes,No,No,support,low
8/28/2023,Kavya Mehta,Capgemini,Medium,3,200,3,No,No,No,technical,low
8/28/2023,Kiara Sethi,Infosys,Very Low,3,264,4,No,No,No,management,low
8/28/2023,Manan Agarwal,Wipro,Very High,3,215,3,No,No,No,marketing,low
8/28/2023,Navya Bhandari,Tata Consultancy Services,Medium,4,272,3,No,No,No,marketing,low
8/28/2023,Niyati Choudhury,Cognizant,High,5,142,3,No,No,No,marketing,low
8/28/2023,Omkar Shah,Capgemini,High,5,240,2,No,No,No,sales,medium
8/28/2023,Prisha Kapoor,IBM,Very High,4,168,2,No,No,No,sales,medium
8/28/2023,Rishabh Nair,Cognizant,High,4,171,4,No,No,No,sales,medium
8/28/2023,Saisha Singh,Infosys,Very High,3,159,2,No,No,No,sales,medium
8/28/2023,Samaira Reddy,Capgemini,Very High,3,175,4,No,No,No,sales,medium
8/28/2023,Shivansh Malik,TCS,High,4,244,3,No,No,No,sales,medium
8/28/2023,Suhani Patel,Infosys,Very High,3,198,3,No,No,No,sales,medium
8/28/2023,Tanay Chawla,Capgemini,High,5,151,3,No,No,No,sales,medium
8/28/2023,Trisha Mohan,Wipro,Medium,2,188,4,No,No,No,sales,medium
8/28/2023,Vanya Verma,Oracle,Very Low,3,199,2,No,No,No,sales,medium
8/28/2023,Yashvi Sharma,Tech Mahindra,Medium,4,257,3,No,No,No,sales,medium
8/28/2023,Yuvraj Menon,Tata Consultancy Services,Very Low,4,144,4,No,No,No,sales,medium
8/28/2023,Zara Agnihotri,Infosys,Medium,4,275,3,No,No,No,sales,high
8/28/2023,Aarush Kapoor,,Medium,3,243,3,No,No,No,sales,low
8/28/2023,Aarna Menon,TCS,Very High,3,181,2,Yes,No,No,sales,medium
8/28/2023,Aditi Jain,Wipro,Very High,5,172,3,No,No,No,sales,medium
8/28/2023,Ahaan Gupta,Tech Mahindra,Very High,3,244,5,No,No,No,sales,medium
8/28/2023,Akshara Iyer,Accenture,High,4,242,3,No,No,No,sales,medium
8/28/2023,Amrita Chauhan,Oracle,Very High,3,249,2,No,No,No,sales,low
8/28/2023,Ananya Verma,Tech Mahindra,Low,5,128,3,Yes,No,No,accounting,low
8/28/2023,Anushka Patel,IBM,Medium,3,213,3,No,No,No,accounting,low
8/28/2023,Atharv Singh,Infosys,Low,4,152,3,Yes,No,No,accounting,low
8/28/2023,Avishi Bansal,Wipro,High,4,245,3,No,No,No,hr,low
8/28/2023,Avyaan Sharma,Oracle,Medium,4,113,3,No,No,No,hr,low
8/28/2023,Ayanna Khanna,HCL Technologies,Very Low,4,280,5,No,No,No,hr,low
8/28/2023,Bhavya Das,HCL,High,3,273,3,Yes,No,No,hr,low
8/28/2023,Divya Saxena,Cognizant,Medium,4,221,3,Yes,No,No,technical,low
8/28/2023,Eeshan Malik,HCL,Medium,5,133,3,No,No,No,technical,low
8/28/2023,Grishma Rana,Wipro,Medium,3,136,4,Yes,No,No,technical,low
8/28/2023,Hansika Das,Oracle,Medium,4,243,3,Yes,No,No,technical,low
8/28/2023,Ishaan Srinivasan,IBM,Very High,5,135,3,No,No,No,technical,low
8/28/2023,Ishika Chauhan,Accenture,High,3,231,3,No,No,No,technical,low
8/28/2023,Jia Patel,HCL,Very High,3,259,4,No,No,No,technical,low
8/28/2023,Kashvi Kapoor,Tech Mahindra,High,3,238,2,No,No,No,technical,low
8/28/2023,Krishiv Mehta,Infosys,High,3,210,3,No,No,No,technical,low
8/28/2023,Lavanya Singh,Infosys,Medium,3,120,6,No,No,No,technical,low
